ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
GO:0042063	GO:0042063	gliogenesis	23/557	285/17913	3.11343886113031e-05	0.000239249427313473	0.000177261027815003	CSF1R/P2RY12/TREM2/CCR2/TLR4/C1QA/S100B/NRROS/GPR183/CX3CR1/CSF1/C5AR1/TGFB1/EGR2/CCL2/LTA/TNFRSF1B/IL1B/STAP1/TIAM1/FPR2/CXCR4/PTK2B	23	geneontology_Biological_Process	0.0412926391382406
GO:0032642	GO:0032642	regulation of chemokine production	11/557	79/17913	3.17066173090548e-05	0.000243184339968121	0.000180176423138442	AIF1/CSF1R/HAVCR2/TLR7/TREM2/CD74/TLR4/SIRPA/MCOLN2/IL1B/HMOX1	11	geneontology_Biological_Process	0.0197486535008977
GO:0001562	GO:0001562	response to protozoan	6/557	21/17913	3.20476053133719e-05	0.000245254305338434	0.000181710070233038	CLEC7A/IRF8/CD40/SLC11A1/BATF2/IRF4	6	geneontology_Biological_Process	0.0107719928186715
GO:0050798	GO:0050798	activated T cell proliferation	8/557	41/17913	3.2097854409706e-05	0.000245254305338434	0.000181710070233038	PDCD1LG2/IL12RB1/CD274/BTN2A2/IL2RA/FOXP3/BTN3A1/FYN	8	geneontology_Biological_Process	0.0143626570915619
GO:0051235	GO:0051235	maintenance of location	23/557	286/17913	3.2893587831187e-05	0.000250860154742751	0.000185863470466191	CD4/MSR1/PTPRC/P2RX7/CCR5/NRROS/TGFB1/SLC8A1/MCOLN2/MYO5A/CCR7/SRGN/IL1B/GM2A/ABCA1/LCK/CCL19/PTK2B/CXCL10/EPB41L3/APOE/CXCL11/CXCL9	23	geneontology_Biological_Process	0.0412926391382406
GO:0043900	GO:0043900	regulation of multi-organism process	29/557	408/17913	3.31161630492782e-05	0.000252081979369459	0.000186768726088208	LY86/HAVCR2/CD4/CD74/IRF8/FGL2/FCN1/PTAFR/P2RX7/LHFPL2/CD28/ARHGDIB/CD180/CARD16/IL12RB1/APOBEC3G/IL2RA/IFI16/LTA/TRIM14/IL1B/TNFAIP3/CXCR4/AIM2/APOE/BIRC3/PRF1/CCL8/CCL5	29	geneontology_Biological_Process	0.052064631956912
GO:0038094	GO:0038094	Fc-gamma receptor signaling pathway	15/557	141/17913	3.37996194592583e-05	0.000256800868147222	0.000190264973014622	NCKAP1L/HCK/FCGR2A/FGR/PTPRC/WAS/VAV1/MYO1G/FCGR2B/WIPF1/FYN/SYK/CD3G/CD247/PTPRJ	15	geneontology_Biological_Process	0.0269299820466786
GO:0002431	GO:0002431	Fc receptor mediated stimulatory signaling pathway	15/557	142/17913	3.67309983790461e-05	0.000278549147182185	0.000206378375409077	NCKAP1L/HCK/FCGR2A/FGR/PTPRC/WAS/VAV1/MYO1G/FCGR2B/WIPF1/FYN/SYK/CD3G/CD247/PTPRJ	15	geneontology_Biological_Process	0.0269299820466786
GO:2000377	GO:2000377	regulation of reactive oxygen species metabolic process	18/557	194/17913	3.70078865079511e-05	0.000280123365665053	0.000207544721299273	AIF1/ITGAM/ITGB2/TYROBP/TLR4/RAC2/SIRPA/GNAI2/ACP5/CX3CR1/TGFB1/JAK2/IL1B/FYN/SYK/FPR2/PTK2B/BST1	18	geneontology_Biological_Process	0.0323159784560144
GO:0002675	GO:0002675	positive regulation of acute inflammatory response	7/557	31/17913	3.71653565468086e-05	0.000280265617839926	0.000207650116605794	BTK/FCER1G/PIK3CG/HLA-E/CCR7/IL1B/OSM	7	geneontology_Biological_Process	0.0125673249551167
GO:0002724	GO:0002724	regulation of T cell cytokine production	7/557	31/17913	3.71653565468086e-05	0.000280265617839926	0.000207650116605794	NLRP3/CCR2/B2M/FOXP3/TNFRSF1B/IL1B/TBX21	7	geneontology_Biological_Process	0.0125673249551167
GO:0035307	GO:0035307	positive regulation of protein dephosphorylation	8/557	42/17913	3.85813188430943e-05	0.000290401658778002	0.000215159957088314	CD33/PTPRC/CD300A/LILRB2/TGFB1/JAK2/PPP1R16B/FCRL3	8	geneontology_Biological_Process	0.0143626570915619
GO:0014068	GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	11/557	81/17913	4.02212773823643e-05	0.000302182905538135	0.000223888738315059	FGR/PIK3CG/PIK3R5/PIK3AP1/CD28/HCLS1/PIK3CD/JAK2/FYN/OSM/CCL5	11	geneontology_Biological_Process	0.0197486535008977
GO:0031342	GO:0031342	negative regulation of cell killing	6/557	22/17913	4.29126181607298e-05	0.000320615161932846	0.00023754528391337	HAVCR2/PTPRC/IL7R/FCGR2B/HLA-E/SERPINB9	6	geneontology_Biological_Process	0.0107719928186715
GO:0072643	GO:0072643	interferon-gamma secretion	6/557	22/17913	4.29126181607298e-05	0.000320615161932846	0.00023754528391337	PTPN22/CD2/BTN3A1/BTN3A2/CD244/RASGRP1	6	geneontology_Biological_Process	0.0107719928186715
GO:1903306	GO:1903306	negative regulation of regulated secretory pathway	6/557	22/17913	4.29126181607298e-05	0.000320615161932846	0.00023754528391337	CD84/CCR2/GNAI2/CD300A/FCGR2B/HMOX1	6	geneontology_Biological_Process	0.0107719928186715
GO:0007596	GO:0007596	blood coagulation	25/557	331/17913	4.30670677127305e-05	0.000321175438551396	0.00023796039549955	P2RY12/LCP2/PLEK/FCER1G/PIK3CG/TLR4/PIK3R5/F13A1/DOCK8/WAS/PIK3R6/P2RX7/CD40/GNG2/VAV1/TREML1/PRKCB/JAK2/CD40LG/UBASH3B/SERPING1/FYN/SYK/LCK/APOE	25	geneontology_Biological_Process	0.0448833034111311
GO:0032722	GO:0032722	positive regulation of chemokine production	9/557	55/17913	4.52269526421441e-05	0.000335203379341323	0.00024835376291728	AIF1/CSF1R/HAVCR2/TLR7/CD74/TLR4/MCOLN2/IL1B/HMOX1	9	geneontology_Biological_Process	0.0161579892280072
GO:0019883	GO:0019883	antigen processing and presentation of endogenous antigen	5/557	14/17913	4.52798231371505e-05	0.000335203379341323	0.00024835376291728	CD74/HLA-E/CD1D/B2M/TAP1	5	geneontology_Biological_Process	0.00897666068222621
GO:0045591	GO:0045591	positive regulation of regulatory T cell differentiation	5/557	14/17913	4.52798231371505e-05	0.000335203379341323	0.00024835376291728	LILRB2/TGFB1/BTN2A2/LILRB4/FOXP3	5	geneontology_Biological_Process	0.00897666068222621
GO:0070669	GO:0070669	response to interleukin-2	5/557	14/17913	4.52798231371505e-05	0.000335203379341323	0.00024835376291728	STAT5A/IL2RA/SYK/PTK2B/IL2RB	5	geneontology_Biological_Process	0.00897666068222621
GO:0033028	GO:0033028	myeloid cell apoptotic process	7/557	32/17913	4.63058321427643e-05	0.000341547761899732	0.000253054345843574	FCER1G/CLEC5A/MEF2C/CCR5/PIK3CD/NOD2/CCL5	7	geneontology_Biological_Process	0.0125673249551167
GO:0070232	GO:0070232	regulation of T cell apoptotic process	7/557	32/17913	4.63058321427643e-05	0.000341547761899732	0.000253054345843574	DOCK8/IL7R/CD274/GIMAP8/PDCD1/CCL5/IDO1	7	geneontology_Biological_Process	0.0125673249551167
GO:0042136	GO:0042136	neurotransmitter biosynthetic process	12/557	98/17913	5.17051881463595e-05	0.00038067827046919	0.000282046323988865	AIF1/ITGB2/TLR4/DPYD/SIRPA/ACP5/CX3CR1/SLC1A3/HDC/JAK2/IL1B/PTK2B	12	geneontology_Biological_Process	0.0215439856373429
GO:0000187	GO:0000187	activation of MAPK activity	15/557	147/17913	5.50030220449931e-05	0.000404222209283386	0.000299490139173216	CD74/TLR4/PTPRC/P2RX7/C5AR1/FPR1/PEA15/NOD2/CD40LG/IL1B/SYK/CCL19/PDE6G/MAP4K1/CXCR4	15	geneontology_Biological_Process	0.0269299820466786
GO:0060143	GO:0060143	positive regulation of syncytium formation by plasma membrane fusion	6/557	23/17913	5.65401900289714e-05	0.000414764878579133	0.000307301252521585	CD53/TYROBP/TREM2/DCSTAMP/NFATC2/CXCL9	6	geneontology_Biological_Process	0.0107719928186715
GO:0051091	GO:0051091	positive regulation of DNA-binding transcription factor activity	21/557	257/17913	5.69799772285901e-05	0.000415901562543686	0.000308143427025909	BTK/NLRC4/ITGB2/NLRP3/TLR4/NFAM1/TRIM22/CD40/CX3CR1/CARD16/TRAF1/TGFB1/PRKCB/HCLS1/MYD88/NOD2/JAK2/CD40LG/TRIM14/IL1B/AIM2	21	geneontology_Biological_Process	0.0377019748653501
GO:1902106	GO:1902106	negative regulation of leukocyte differentiation	12/557	99/17913	5.72050507317504e-05	0.000415901562543686	0.000308143427025909	CD74/TLR4/C1QC/MAFB/FCGR2B/INPP5D/LILRB4/RUNX3/FOXP3/UBASH3B/CTLA4/TBX21	12	geneontology_Biological_Process	0.0215439856373429
GO:0010922	GO:0010922	positive regulation of phosphatase activity	7/557	33/17913	5.72096162232284e-05	0.000415901562543686	0.000308143427025909	CD33/PLEK/PTPRC/MEF2C/CD300A/JAK2/FCRL3	7	geneontology_Biological_Process	0.0125673249551167
GO:0055094	GO:0055094	response to lipoprotein particle	7/557	33/17913	5.72096162232284e-05	0.000415901562543686	0.000308143427025909	ITGB2/FCER1G/TLR4/MYD88/SYK/ABCA1/APOE	7	geneontology_Biological_Process	0.0125673249551167
GO:0097242	GO:0097242	amyloid-beta clearance	7/557	33/17913	5.72096162232284e-05	0.000415901562543686	0.000308143427025909	ITGAM/ITGB2/MSR1/TREM2/MARCO/C5AR1/APOE	7	geneontology_Biological_Process	0.0125673249551167
GO:0050817	GO:0050817	coagulation	25/557	337/17913	5.77062951479183e-05	0.000418759147195486	0.000310260624956681	P2RY12/LCP2/PLEK/FCER1G/PIK3CG/TLR4/PIK3R5/F13A1/DOCK8/WAS/PIK3R6/P2RX7/CD40/GNG2/VAV1/TREML1/PRKCB/JAK2/CD40LG/UBASH3B/SERPING1/FYN/SYK/LCK/APOE	25	geneontology_Biological_Process	0.0448833034111311
GO:0060759	GO:0060759	regulation of response to cytokine stimulus	17/557	183/17913	5.9554752276476e-05	0.000431398402690889	0.000319625108897518	CD300LF/SAMHD1/TREM2/CD74/TLR4/CASP1/PTPRC/CSF1/CARD16/TRAF1/JAK2/SYK/STAP1/TNFAIP3/NLRC5/BIRC3/CCL5	17	geneontology_Biological_Process	0.0305206463195691
GO:0002820	GO:0002820	negative regulation of adaptive immune response	8/557	45/17913	6.49167597986556e-05	0.000468559898403868	0.000347158236141307	HAVCR2/PTPRC/SAMSN1/IL7R/FCGR2B/CR1/FOXP3/TBX21	8	geneontology_Biological_Process	0.0143626570915619
GO:0033628	GO:0033628	regulation of cell adhesion mediated by integrin	8/557	45/17913	6.49167597986556e-05	0.000468559898403868	0.000347158236141307	NCKAP1L/LPXN/P2RY12/PIK3CG/SYK/CD3E/CCL5/CXCL13	8	geneontology_Biological_Process	0.0143626570915619
GO:0034121	GO:0034121	regulation of toll-like receptor signaling pathway	10/557	71/17913	6.53947750317544e-05	0.000471168771262658	0.000349091162332942	CD300LF/PTPN22/TLR4/CD300A/CD14/TLR1/TNFAIP3/FCRL3/BIRC3/IRF4	10	geneontology_Biological_Process	0.0179533213644524
GO:0002467	GO:0002467	germinal center formation	5/557	15/17913	6.6186433094973e-05	0.000473496570920143	0.000350815840065577	MEF2C/TNFSF13B/KLHL6/TNFAIP3/CXCL13	5	geneontology_Biological_Process	0.00897666068222621
GO:0010759	GO:0010759	positive regulation of macrophage chemotaxis	5/557	15/17913	6.6186433094973e-05	0.000473496570920143	0.000350815840065577	C3AR1/CMKLR1/CSF1/C5AR1/CCL5	5	geneontology_Biological_Process	0.00897666068222621
GO:0032645	GO:0032645	regulation of granulocyte macrophage colony-stimulating factor production	5/557	15/17913	6.6186433094973e-05	0.000473496570920143	0.000350815840065577	CD80/CD84/IL1B/SYK/RASGRP1	5	geneontology_Biological_Process	0.00897666068222621
GO:2000484	GO:2000484	positive regulation of interleukin-8 secretion	5/557	15/17913	6.6186433094973e-05	0.000473496570920143	0.000350815840065577	FCN1/CD14/TLR1/CD2/CD244	5	geneontology_Biological_Process	0.00897666068222621
GO:0097696	GO:0097696	STAT cascade	15/557	150/17913	6.9434959311856e-05	0.000495858843707636	0.000367384153323843	CSF1R/CCR2/PTPRC/IL10RA/CD300A/CD40/IL7R/STAT5A/HCLS1/JAK2/CCL2/FYN/OSM/IL22RA2/CCL5	15	geneontology_Biological_Process	0.0269299820466786
GO:0032691	GO:0032691	negative regulation of interleukin-1 beta production	7/557	34/17913	7.01265212646087e-05	0.000499034153083712	0.000369736754999651	CD33/NLRP3/TREM2/ACP5/CX3CR1/CARD16/TNFAIP3	7	geneontology_Biological_Process	0.0125673249551167
GO:0034142	GO:0034142	toll-like receptor 4 signaling pathway	7/557	34/17913	7.01265212646087e-05	0.000499034153083712	0.000369736754999651	ITGAM/ITGB2/PTPN22/TLR4/PIK3AP1/CD14/TNFAIP3	7	geneontology_Biological_Process	0.0125673249551167
GO:0032602	GO:0032602	chemokine production	11/557	86/17913	7.05635159548413e-05	0.000501261391018398	0.000371386926078112	AIF1/CSF1R/HAVCR2/TLR7/TREM2/CD74/TLR4/SIRPA/MCOLN2/IL1B/HMOX1	11	geneontology_Biological_Process	0.0197486535008977
GO:0034162	GO:0034162	toll-like receptor 9 signaling pathway	6/557	24/17913	7.34168895455826e-05	0.000520615907970605	0.000385726778868296	HAVCR2/TLR7/TLR8/PIK3AP1/MYD88/FCRL3	6	geneontology_Biological_Process	0.0107719928186715
GO:0030260	GO:0030260	entry into host cell	14/557	134/17913	7.48024855887746e-05	0.000526745029180883	0.00039026787364765	MRC1/CD4/CD86/CD80/SELPLG/CD74/CLEC5A/FCN1/CCR5/CR1/CTSB/SLAMF1/CD209/CXCR4	14	geneontology_Biological_Process	0.0251346499102334
GO:0044409	GO:0044409	entry into host	14/557	134/17913	7.48024855887746e-05	0.000526745029180883	0.00039026787364765	MRC1/CD4/CD86/CD80/SELPLG/CD74/CLEC5A/FCN1/CCR5/CR1/CTSB/SLAMF1/CD209/CXCR4	14	geneontology_Biological_Process	0.0251346499102334
GO:0051806	GO:0051806	entry into cell of other organism involved in symbiotic interaction	14/557	134/17913	7.48024855887746e-05	0.000526745029180883	0.00039026787364765	MRC1/CD4/CD86/CD80/SELPLG/CD74/CLEC5A/FCN1/CCR5/CR1/CTSB/SLAMF1/CD209/CXCR4	14	geneontology_Biological_Process	0.0251346499102334
GO:0051828	GO:0051828	entry into other organism involved in symbiotic interaction	14/557	134/17913	7.48024855887746e-05	0.000526745029180883	0.00039026787364765	MRC1/CD4/CD86/CD80/SELPLG/CD74/CLEC5A/FCN1/CCR5/CR1/CTSB/SLAMF1/CD209/CXCR4	14	geneontology_Biological_Process	0.0251346499102334
GO:0070231	GO:0070231	T cell apoptotic process	8/557	46/17913	7.64679384065505e-05	0.000536603137220967	0.000397571792336689	DOCK8/IL7R/CD274/GIMAP8/IL2RA/PDCD1/CCL5/IDO1	8	geneontology_Biological_Process	0.0143626570915619
GO:1900015	GO:1900015	regulation of cytokine production involved in inflammatory response	8/557	46/17913	7.64679384065505e-05	0.000536603137220967	0.000397571792336689	TLR4/SIRPA/MYD88/NOD2/GPSM3/CD6/NLRC3/GBP5	8	geneontology_Biological_Process	0.0143626570915619
GO:0032147	GO:0032147	activation of protein kinase activity	23/557	303/17913	8.0079910792261e-05	0.000560975735567277	0.000415629565272248	NCKAP1L/CD74/TLR4/PTPRC/P2RX7/CD300A/C5AR1/FPR1/ADRB2/PEA15/MAP3K3/NOD2/JAK2/CD40LG/IL1B/SYK/SLC11A1/CCL19/PDE6G/MAP4K1/CXCR4/PTK2B/CCL5	23	geneontology_Biological_Process	0.0412926391382406
GO:0001959	GO:0001959	regulation of cytokine-mediated signaling pathway	16/557	170/17913	8.3461463016987e-05	0.000583652653139553	0.00043243100033387	CD300LF/SAMHD1/TREM2/CD74/CASP1/PTPRC/CSF1/CARD16/TRAF1/JAK2/SYK/STAP1/TNFAIP3/NLRC5/BIRC3/CCL5	16	geneontology_Biological_Process	0.0287253141831239
GO:0042092	GO:0042092	type 2 immune response	7/557	35/17913	8.53288328626339e-05	0.000594653693846149	0.000440581723219952	CD86/NLRP3/CCR2/CD74/NOD2/TBX21/IDO1	7	geneontology_Biological_Process	0.0125673249551167
GO:0071402	GO:0071402	cellular response to lipoprotein particle stimulus	7/557	35/17913	8.53288328626339e-05	0.000594653693846149	0.000440581723219952	ITGB2/FCER1G/TLR4/MYD88/SYK/ABCA1/APOE	7	geneontology_Biological_Process	0.0125673249551167
GO:1904894	GO:1904894	positive regulation of STAT cascade	11/557	88/17913	8.72959283137627e-05	0.000607315219009	0.000449962706862315	CSF1R/IL10RA/CD300A/CD40/IL7R/HCLS1/JAK2/FYN/OSM/PTK2B/CCL5	11	geneontology_Biological_Process	0.0197486535008977
GO:0051224	GO:0051224	negative regulation of protein transport	17/557	189/17913	8.9026030233108e-05	0.000618287309625812	0.00045809198049049	NLRP3/TLR8/PTPN22/PTGER4/CD200R1/CARD16/FCGR2B/BTN2A2/FOXP3/SRGN/IL1B/LILRA5/CD22/GBP1/TNFAIP3/APOE/BANK1	17	geneontology_Biological_Process	0.0305206463195691
GO:0001916	GO:0001916	positive regulation of T cell mediated cytotoxicity	5/557	16/17913	9.38161877903975e-05	0.000644515472220002	0.000477524549718979	PTPRC/P2RX7/IL12RB1/HLA-E/B2M	5	geneontology_Biological_Process	0.00897666068222621
GO:0002295	GO:0002295	T-helper cell lineage commitment	5/557	16/17913	9.38161877903975e-05	0.000644515472220002	0.000477524549718979	SPN/IL12RB1/SLAMF6/TBX21/IRF4	5	geneontology_Biological_Process	0.00897666068222621
GO:0002830	GO:0002830	positive regulation of type 2 immune response	5/557	16/17913	9.38161877903975e-05	0.000644515472220002	0.000477524549718979	CD86/NLRP3/CD74/NOD2/IDO1	5	geneontology_Biological_Process	0.00897666068222621
GO:0032604	GO:0032604	granulocyte macrophage colony-stimulating factor production	5/557	16/17913	9.38161877903975e-05	0.000644515472220002	0.000477524549718979	CD80/CD84/IL1B/SYK/RASGRP1	5	geneontology_Biological_Process	0.00897666068222621
GO:0033033	GO:0033033	negative regulation of myeloid cell apoptotic process	5/557	16/17913	9.38161877903975e-05	0.000644515472220002	0.000477524549718979	FCER1G/CLEC5A/CCR5/NOD2/CCL5	5	geneontology_Biological_Process	0.00897666068222621
GO:0045408	GO:0045408	regulation of interleukin-6 biosynthetic process	6/557	25/17913	9.40782109376054e-05	0.000644515472220002	0.000477524549718979	TYROBP/PTAFR/INPP5D/TLR1/IL1B/CARD9	6	geneontology_Biological_Process	0.0107719928186715
GO:1901623	GO:1901623	regulation of lymphocyte chemotaxis	6/557	25/17913	9.40782109376054e-05	0.000644515472220002	0.000477524549718979	CCR2/CCL2/PTK2B/CXCL10/CCL5/CXCL13	6	geneontology_Biological_Process	0.0107719928186715
GO:2000482	GO:2000482	regulation of interleukin-8 secretion	6/557	25/17913	9.40782109376054e-05	0.000644515472220002	0.000477524549718979	PTPN22/FCN1/CD14/TLR1/CD2/CD244	6	geneontology_Biological_Process	0.0107719928186715
GO:0033627	GO:0033627	cell adhesion mediated by integrin	9/557	61/17913	0.000104547779551163	0.000714954694382742	0.000529713301262768	NCKAP1L/LPXN/P2RY12/PIK3CG/ITGA4/SYK/CD3E/CCL5/CXCL13	9	geneontology_Biological_Process	0.0161579892280072
GO:1903727	GO:1903727	positive regulation of phospholipid metabolic process	8/557	48/17913	0.000104713799870011	0.000714954694382742	0.000529713301262768	P2RY12/FGR/TGFB1/NOD2/CCR7/CCL19/FPR2/PTK2B	8	geneontology_Biological_Process	0.0143626570915619
GO:0002831	GO:0002831	regulation of response to biotic stimulus	14/557	139/17913	0.000111301481967047	0.000758651922615183	0.000562088783520455	LY86/HAVCR2/FGL2/CD180/CARD16/IL12RB1/CD274/APOBEC3G/CRTAM/IL2RA/IL1B/TNFAIP3/AIM2/BIRC3	14	geneontology_Biological_Process	0.0251346499102334
GO:1904950	GO:1904950	negative regulation of establishment of protein localization	17/557	193/17913	0.000115183841838857	0.000783793078640841	0.000580715984461365	NLRP3/TLR8/PTPN22/PTGER4/CD200R1/CARD16/FCGR2B/BTN2A2/FOXP3/SRGN/IL1B/LILRA5/CD22/GBP1/TNFAIP3/APOE/BANK1	17	geneontology_Biological_Process	0.0305206463195691
GO:0002360	GO:0002360	T cell lineage commitment	6/557	26/17913	0.00011910933019168	0.0008064320144636	0.000597489278665836	SPN/IL12RB1/FOXP3/SLAMF6/TBX21/IRF4	6	geneontology_Biological_Process	0.0107719928186715
GO:0032647	GO:0032647	regulation of interferon-alpha production	6/557	26/17913	0.00011910933019168	0.0008064320144636	0.000597489278665836	HAVCR2/TLR7/TLR8/TLR4/IRF5/NLRC3	6	geneontology_Biological_Process	0.0107719928186715
GO:0072539	GO:0072539	T-helper 17 cell differentiation	6/557	26/17913	0.00011910933019168	0.0008064320144636	0.000597489278665836	NLRP3/IL12RB1/FOXP3/SLAMF6/TBX21/IRF4	6	geneontology_Biological_Process	0.0107719928186715
GO:0007259	GO:0007259	JAK-STAT cascade	14/557	140/17913	0.000120215397349802	0.000812559592120231	0.000602029229819021	CSF1R/CCR2/PTPRC/IL10RA/CD300A/CD40/STAT5A/HCLS1/JAK2/CCL2/FYN/OSM/IL22RA2/CCL5	14	geneontology_Biological_Process	0.0251346499102334
GO:0031529	GO:0031529	ruffle organization	8/557	49/17913	0.000121780546961594	0.000821764558962879	0.000608849233117892	AIF1/CSF1R/P2RY12/PLEK/CCR7/CORO1C/SNX10/STAP1	8	geneontology_Biological_Process	0.0143626570915619
GO:0043029	GO:0043029	T cell homeostasis	7/557	37/17913	0.000123795271190267	0.000833967476918431	0.000617890432519841	NCKAP1L/P2RX7/TGFB1/IL2RA/FOXP3/SIT1/GPR174	7	geneontology_Biological_Process	0.0125673249551167
GO:0032740	GO:0032740	positive regulation of interleukin-17 production	5/557	17/17913	0.000129519608862245	0.000869631659503647	0.000644314193413338	TGFB1/MYD88/NOD2/OSM/SLAMF6	5	geneontology_Biological_Process	0.00897666068222621
GO:1904996	GO:1904996	positive regulation of leukocyte adhesion to vascular endothelial cell	5/557	17/17913	0.000129519608862245	0.000869631659503647	0.000644314193413338	ITGB2/CCR2/PTAFR/ITGA4/ETS1	5	geneontology_Biological_Process	0.00897666068222621
GO:0071260	GO:0071260	cellular response to mechanical stimulus	10/557	77/17913	0.00013152179960993	0.000881610471017146	0.000653189351296591	TLR7/TLR8/TLR4/CASP1/PTGER4/FAS/CD40/TGFB1/MYD88/IL1B	10	geneontology_Biological_Process	0.0179533213644524
GO:0001894	GO:0001894	tissue homeostasis	18/557	214/17913	0.000131977882382001	0.000883202981106038	0.000654369249523862	CSF1R/CCR2/TLR4/RAC2/LIPA/P2RX7/DCSTAMP/CSF1/LYZ/INPP5D/ADRB2/B2M/NOD2/SNX10/LRRK1/SYK/TNFAIP3/PTK2B	18	geneontology_Biological_Process	0.0323159784560144
GO:0007187	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	16/557	178/17913	0.000143444626939605	0.000958352367090719	0.000710047783633193	GPR65/P2RY12/PTGER4/MARCO/GNAI2/CCR1/GNG2/FPR1/CCL2/ABCA1/FPR2/S1PR4/CXCL10/RGS1/CXCL11/CXCL9	16	geneontology_Biological_Process	0.0287253141831239
GO:0043277	GO:0043277	apoptotic cell clearance	7/557	38/17913	0.000147722211067457	0.000985302272499439	0.00073001509551314	CD300LF/TYROBP/TREM2/MARCO/FCN1/CCL2/TGM2	7	geneontology_Biological_Process	0.0125673249551167
GO:0042226	GO:0042226	interleukin-6 biosynthetic process	6/557	27/17913	0.00014914558042956	0.000991523743579409	0.000734624612746014	TYROBP/PTAFR/INPP5D/TLR1/IL1B/CARD9	6	geneontology_Biological_Process	0.0107719928186715
GO:0043304	GO:0043304	regulation of mast cell degranulation	6/557	27/17913	0.00014914558042956	0.000991523743579409	0.000734624612746014	CD84/FGR/FCER1G/RAC2/CD300A/HMOX1	6	geneontology_Biological_Process	0.0107719928186715
GO:0051056	GO:0051056	regulation of small GTPase mediated signal transduction	23/557	316/17913	0.00014997826140836	0.000995422221038738	0.000737513013061593	RASGRP4/FGD2/ARHGEF6/CYTH4/ARHGAP18/TAGAP/ARHGAP31/RAC2/ARHGAP30/ARHGAP15/ARHGDIB/VAV1/ARHGAP25/CSF1/ARHGAP9/PREX1/JAK2/FGD3/RASAL3/TIAM1/ABCA1/RASGRP1/APOE	23	geneontology_Biological_Process	0.0412926391382406
GO:0001768	GO:0001768	establishment of T cell polarity	4/557	10/17913	0.000167268527195839	0.00110293537834516	0.000817170017810872	DOCK2/DOCK8/CCR7/CCL19	4	geneontology_Biological_Process	0.00718132854578097
GO:0045657	GO:0045657	positive regulation of monocyte differentiation	4/557	10/17913	0.000167268527195839	0.00110293537834516	0.000817170017810872	CD4/CD74/DCSTAMP/CSF1	4	geneontology_Biological_Process	0.00718132854578097
GO:0048304	GO:0048304	positive regulation of isotype switching to IgG isotypes	4/557	10/17913	0.000167268527195839	0.00110293537834516	0.000817170017810872	PTPRC/CD28/CD40/TBX21	4	geneontology_Biological_Process	0.00718132854578097
GO:2000109	GO:2000109	regulation of macrophage apoptotic process	4/557	10/17913	0.000167268527195839	0.00110293537834516	0.000817170017810872	MEF2C/CCR5/NOD2/CCL5	4	geneontology_Biological_Process	0.00718132854578097
GO:0045428	GO:0045428	regulation of nitric oxide biosynthetic process	9/557	65/17913	0.000172627762750418	0.00113641924598891	0.000841978373092645	AIF1/ITGB2/TLR4/SIRPA/ACP5/CX3CR1/JAK2/IL1B/PTK2B	9	geneontology_Biological_Process	0.0161579892280072
GO:0002262	GO:0002262	myeloid cell homeostasis	14/557	145/17913	0.000174684093439707	0.0011449183054042	0.000848275366253013	NCKAP1L/SPI1/FCER1G/CCR2/IKZF1/MAFB/HCLS1/PIK3CD/INPP5D/B2M/JAK2/FOXP3/ETS1/HMOX1	14	geneontology_Biological_Process	0.0251346499102334
GO:0043011	GO:0043011	myeloid dendritic cell differentiation	5/557	18/17913	0.000174768578533991	0.0011449183054042	0.000848275366253013	SPI1/DCSTAMP/TGFB1/BATF2/IRF4	5	geneontology_Biological_Process	0.00897666068222621
GO:0070230	GO:0070230	positive regulation of lymphocyte apoptotic process	5/557	18/17913	0.000174768578533991	0.0011449183054042	0.000848275366253013	P2RX7/CD274/PDCD1/CCL5/IDO1	5	geneontology_Biological_Process	0.00897666068222621
GO:0032607	GO:0032607	interferon-alpha production	6/557	28/17913	0.000184872651736191	0.00120915090342667	0.000895865600731499	HAVCR2/TLR7/TLR8/TLR4/IRF5/NLRC3	6	geneontology_Biological_Process	0.0107719928186715
GO:1904892	GO:1904892	regulation of STAT cascade	13/557	129/17913	0.000192926552717379	0.00125978857202527	0.000933383287953308	CSF1R/PTPRC/IL10RA/CD300A/CD40/IL7R/HCLS1/JAK2/FYN/OSM/IL22RA2/PTK2B/CCL5	13	geneontology_Biological_Process	0.0233393177737881
GO:0006898	GO:0006898	receptor-mediated endocytosis	22/557	301/17913	0.000195586634993129	0.0012750986752294	0.000944726615544062	MRC1/ITGAM/ITGB2/MSR1/FCER1G/FOLR2/COLEC12/MARCO/DAB2/CD163/CD14/ITGA4/FCGR2B/ADRB2/B2M/SCARF1/CD207/SYK/STAB1/CCL19/FPR2/APOE	22	geneontology_Biological_Process	0.0394973070017953
GO:0031589	GO:0031589	cell-substrate adhesion	23/557	322/17913	0.000197521575770665	0.0012856396284461	0.000952536457441381	PTPRO/ITGB2/SIGLEC1/PARVG/RAC2/CSF1/CD44/MYO1G/ITGA4/ITGAL/PREX1/JAK2/CCR7/CORO1C/CD3E/CD96/TIAM1/GBP1/PLEKHA2/PTPRJ/PTK2B/BST1/SPOCK2	23	geneontology_Biological_Process	0.0412926391382406
